probe,mnemonic,count,flags
probe_4bit_formats,BRA,8,O3_fast_math_restrict
probe_4bit_formats,BSSY,3,O3_fast_math_restrict
probe_4bit_formats,BSYNC,3,O3_fast_math_restrict
probe_4bit_formats,EXIT,7,O3_fast_math_restrict
probe_4bit_formats,F2I.TRUNC.NTZ,41,O3_fast_math_restrict
probe_4bit_formats,FADD.FTZ,40,O3_fast_math_restrict
probe_4bit_formats,FADD.FTZ.RZ,41,O3_fast_math_restrict
probe_4bit_formats,FFMA.FTZ,76,O3_fast_math_restrict
probe_4bit_formats,FMUL.FTZ,82,O3_fast_math_restrict
probe_4bit_formats,FSETP.GEU.FTZ.AND,15,O3_fast_math_restrict
probe_4bit_formats,I2FP.F32.S32,41,O3_fast_math_restrict
probe_4bit_formats,IADD3,25,O3_fast_math_restrict
probe_4bit_formats,IMAD,5,O3_fast_math_restrict
probe_4bit_formats,IMAD.IADD,16,O3_fast_math_restrict
probe_4bit_formats,IMAD.MOV.U32,24,O3_fast_math_restrict
probe_4bit_formats,IMAD.SHL.U32,28,O3_fast_math_restrict
probe_4bit_formats,IMAD.WIDE,5,O3_fast_math_restrict
probe_4bit_formats,IMAD.WIDE.U32,1,O3_fast_math_restrict
probe_4bit_formats,IMMA.8832.S4.S4,1,O3_fast_math_restrict
probe_4bit_formats,IMNMX,82,O3_fast_math_restrict
probe_4bit_formats,ISETP.EQ.AND,32,O3_fast_math_restrict
probe_4bit_formats,ISETP.GE.AND,25,O3_fast_math_restrict
probe_4bit_formats,ISETP.GT.U32.AND,20,O3_fast_math_restrict
probe_4bit_formats,ISETP.NE.AND,1,O3_fast_math_restrict
probe_4bit_formats,LDC,3,O3_fast_math_restrict
probe_4bit_formats,LDG.E,6,O3_fast_math_restrict
probe_4bit_formats,LDG.E.S8,20,O3_fast_math_restrict
probe_4bit_formats,LDG.E.U8,1,O3_fast_math_restrict
probe_4bit_formats,LEA,4,O3_fast_math_restrict
probe_4bit_formats,LEA.HI,1,O3_fast_math_restrict
probe_4bit_formats,LEA.HI.X,4,O3_fast_math_restrict
probe_4bit_formats,LEA.HI.X.SX32,23,O3_fast_math_restrict
probe_4bit_formats,LOP3.LUT,105,O3_fast_math_restrict
probe_4bit_formats,MOV,2,O3_fast_math_restrict
probe_4bit_formats,NOP,78,O3_fast_math_restrict
probe_4bit_formats,PRMT,7,O3_fast_math_restrict
probe_4bit_formats,S2R,12,O3_fast_math_restrict
probe_4bit_formats,SHF.L.U32,2,O3_fast_math_restrict
probe_4bit_formats,SHF.R.S32.HI,2,O3_fast_math_restrict
probe_4bit_formats,SHF.R.U32.HI,22,O3_fast_math_restrict
probe_4bit_formats,STG.E,7,O3_fast_math_restrict
probe_4bit_formats,STG.E.64,1,O3_fast_math_restrict
probe_4bit_formats,STG.E.U8,21,O3_fast_math_restrict
probe_4bit_formats,ULDC.64,7,O3_fast_math_restrict
probe_async_copy,BAR.SYNC.DEFER_BLOCKING,13,O3_fast_math_restrict
probe_async_copy,BRA,3,O3_fast_math_restrict
probe_async_copy,DEPBAR.LE,8,O3_fast_math_restrict
probe_async_copy,EXIT,3,O3_fast_math_restrict
probe_async_copy,FADD.FTZ,4,O3_fast_math_restrict
probe_async_copy,FFMA.FTZ,6,O3_fast_math_restrict
probe_async_copy,IADD3,16,O3_fast_math_restrict
probe_async_copy,IMAD,1,O3_fast_math_restrict
probe_async_copy,IMAD.MOV.U32,5,O3_fast_math_restrict
probe_async_copy,IMAD.SHL.U32,1,O3_fast_math_restrict
